words,sentiment_coeff
vemos,-0.9998850650695665
altura,-0.9873234549629348
#covid__19,-0.975129182609124
#stayathome,1.1563525576652982
recentes,1.0271465857563455
indicam,1.0060523805152837
#ciência,1.1068694973851188
belo,0.9958189845865484
recado,-1.0622084468678026
entende,-1.0715383240764382
thomas,-1.039644688524133
vale_pena,-1.025129949341371
caixa,-0.9842727285008012
partir_desta,1.0520526789089808
"(18,",1.1246920200358024
govern…,1.0273565989236348
fim_semana,-0.9633267934327931
gente,-1.0319370114817676
alienada,-1.0458719210886886
acha,-1.034667116864505
g…,-0.9980089853770993
passo,-0.9802219600682417
tempo,-0.9978700327615215
vou,-1.027067292620984
torcer,-1.0456544514707928
levar,-0.9922654256243499
monte,-1.0245503963450346
irlanda,1.035380379914981
retomam,1.0536697196044027
2055,1.0801908850219641
minério,1.045021538746833
ferro,0.9902212766248953
mandetta,-1.0076672875413055
qua,1.0520805606555885
200,0.9944739516739493
óbitos,1.0036869721152695
passamos,-0.9625911113839598
1/3,0.9861935566821084
janeiro,-0.9893365593949526
d…,0.9606076062312765
feirantes,1.0903606664700702
exigem,1.0199399279535717
total,0.9743429906889719
feira,0.9743756009666621
perseguir,-1.054903775550162
razão,-0.9952771108728807
política,-1.0014950518091728
atitude,-1.0148381372588993
deprimente,-1.0430675792141701
contradições,1.077120553433799
patentes,1.0384821895025085
nesse,-0.995787170093984
papa,1.0815606308053036
reza,1.0785762765809526
cuidam,1.0666855200600867
limpeza,1.0395218162390958
ruas,0.9752211150947563
#notícias,1.0999155870521147
vale,0.9739711880262276
reforçar,1.024317780672541
"casa,",-1.0034906187283035
saia,-1.082057890456457
sempre,-1.0263554608129117
máscara,-1.0160761201132333
álcool_gel,-1.0015717446446355
mãos,-1.015283237744734
voltar,-0.9918588255991988
ev…,1.0353909257515836
visitas,1.0092644725194546
lares,1.041503258377081
permitidas,1.1008391517783336
partir,0.9783957975708149
limpe,1.1454712420927946
#dengue,1.0685045263677997
brasileiros,0.9654505763243225
norte,0.9918885804789621
sul,0.9834726973502773
na…,0.9651283462960768
@zehdeabreu,-1.0832213059990805
sei,-1.0457773532595238
estar,-1.0011264548365677
deu,-1.0135547916825784
origem,-1.02553811134348
"descoberta,",-1.0532503221384202
foi…,0.9642291574570024
#brasil,1.0058351991470968
atinge,1.02765757505204
#epidemia,1.107632359247388
#jairbolsonaro,1.0648429437142324
